text,page,bbox,font_size,font_name,font_flags,page_height,page_width,block_index,total_blocks,relative_position,font_size_z_score,font_size_percentile,is_largest_font,is_common_font_size,font_size_deviation,is_first_page,is_last_page,page_position_normalized,prev_font_size_diff,prev_text_length,prev_page_diff,next_font_size_diff,next_text_length,next_page_diff,text_length_z_score,is_short_text,is_medium_text,is_long_text,title_score,h1_score,h2_score,h3_score,heading_likelihood,heuristic_class,heuristic_confidence,block_width,block_height,aspect_ratio,sentence_count,avg_sentence_length,word_count,avg_word_length,unique_word_ratio,char_count,alpha_ratio,digit_ratio,punct_ratio,space_ratio,stopword_ratio,bigram_diversity,starts_with_number,ends_with_punct,has_colon,parentheses_count,quote_count,flesch_score,heading_rank,heading_percentile,preliminary_label,label,source_file
Miles,1,"(136.6837921142578, 562.5393676757812, 151.691650390625, 577.7623901367188)",7.920310020446777,ArialNarrow,0,612.0,792.0,88,89,0.9887640449438202,-0.05336509207771005,0.8764044943820225,False,False,0.48002004623413086,True,True,0.9191819733264399,0.0,11,0,0.0,0,0,-0.2463380999447694,False,True,False,4,3,1.0,0.0,4.0,Title,0.5,15.007858276367188,15.2230224609375,0.9858658695983386,1,1.0,1,5.0,1.0,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,0,0.0,83,0.07865168539325842,Title,Paragraph,FKXAOBO27MSNKEA6PNS6P54HNFPMSNLL.pdf
"Executive Office of Public Safety Newsletter, June 2006",1,"(79.31999969482422, 50.40380859375, 528.1349487304688, 71.78228759765625)",19.020000457763672,Garamond-Bold,20,792.0,612.0,0,28,0.0,2.92820290653293,1.0,True,False,7.020000457763672,True,False,0.06364117246685606,0.0,0,0,-5.040000915527344,350,0,-0.55588741548285,False,True,False,9,6,0.0,0.0,9.0,Title,0.6,448.81494903564453,21.37847900390625,20.9937736428133,1,8.0,8,6.0,1.0,55,0.7818181818181819,0.07272727272727272,0.01818181818181818,0.12727272727272726,0.1111111111111111,1.0,False,False,False,0,0,0.0,2,0.9642857142857143,Title,Title,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
"The Executive Office of Public Safety (EOPS) is committed to keeping  the people of Massachusetts informed about critical homeland security,  emergency management, personal safety, and criminal justice issues.  The EOPS newsletter is published monthly for the purpose of sharing  current information on events, publications, and funding opportunities",1,"(150.24000549316406, 89.3038330078125, 553.33935546875, 169.15768432617188)",13.979999542236328,TimesNewRomanPSMT,4,792.0,612.0,1,28,0.03571428571428571,1.1676880508020049,0.9285714285714286,False,False,1.9799995422363281,True,False,0.11275736490885417,-5.040000915527344,55,0,-1.9799995422363281,34,0,-0.2911333330352722,False,True,False,5,6,1.5,0.0,6.0,H1,0.48,403.09934997558594,79.85385131835938,5.047963790356452,2,23.5,47,6.382978723404255,0.8723404255319149,350,0.8342857142857143,0.0,0.017142857142857144,0.14285714285714285,0.2727272727272727,0.9814814814814815,False,False,False,2,0,0.0,9,0.7142857142857143,H1,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
among public safety professionals.,1,"(48.599998474121094, 169.762939453125, 450.79736328125, 207.0719757080078)",12.0,TimesNewRomanPS-BoldMT,20,792.0,612.0,2,28,0.07142857142857142,0.476057500158988,0.8928571428571429,False,True,0.0,True,False,0.21434714577414773,-1.9799995422363281,350,0,0.0,8,0,-0.5747343162672538,False,True,False,3,2,1.0,0.5,3.0,Title,0.46153846153846156,402.1973648071289,37.30903625488281,10.780159585454085,1,4.0,4,7.75,1.0,34,0.8823529411764706,0.0,0.029411764705882353,0.08823529411764706,0.0,1.0,False,True,False,0,0,0.0,17,0.42857142857142855,H2,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
Contents,1,"(498.0599060058594, 198.82801818847656, 547.0800170898438, 212.1120147705078)",12.0,TimesNewRomanPS-BoldMT,20,792.0,612.0,3,28,0.10714285714285714,0.476057500158988,0.8928571428571429,False,True,0.0,True,False,0.2510454775107027,0.0,34,0,6.0,18,0,-0.5980685743812777,False,True,False,4,3,2.0,0.5,4.0,Title,0.42105263157894735,49.020111083984375,13.28399658203125,3.6901628799191344,1,1.0,1,8.0,1.0,8,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,0,0.0,13,0.5714285714285714,Title,H1,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
EOPS Announcements,1,"(48.599998474121094, 207.58802795410156, 237.7080078125, 241.5479736328125)",18.0,TimesNewRomanPS-BoldMT,20,792.0,612.0,4,28,0.14285714285714285,2.571908138170294,0.9642857142857143,False,False,6.0,True,False,0.2621060959016434,6.0,8,0,-9.0,21,0,-0.5890938597220378,False,True,False,7,5,0.0,0.0,7.0,Title,0.5833333333333334,189.1080093383789,33.95994567871094,5.568560419015285,1,2.0,2,8.5,1.0,18,0.9444444444444444,0.0,0.0,0.05555555555555555,0.0,1.0,False,False,False,0,0,0.0,6,0.8214285714285714,Title,H1,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
Funding Opportunities,1,"(461.2799987792969, 215.4897918701172, 555.2999267578125, 238.27198791503906)",9.0,TimesNewRomanPS-BoldMT,20,792.0,612.0,5,28,0.17857142857142858,-0.5718678188466649,0.5357142857142857,False,False,3.0,True,False,0.27208307054307723,-9.0,18,0,-1.0199999809265137,374,0,-0.5864014453242657,False,True,False,4,3,1.0,0.0,4.0,Title,0.5,94.01992797851562,22.782196044921875,4.126903648494964,1,2.0,2,10.0,1.0,21,0.9523809523809523,0.0,0.0,0.047619047619047616,0.0,1.0,False,False,False,0,0,0.0,14,0.5357142857142857,Title,H2,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
• The College Environmental  Alcohol Prevention Planning and   Implementation Grant (EOPS)  • Juvenile Justice and Delinquency  Prevention Act Formula Grant  Program  (EOPS)  • Field-Initiated Research and  Evaluation Program (OJJDP)  • Social Science Research on the  Role and Impact of Forensic  Evidence on the Criminal Justice  Process (NIJ)    Research and Publications,1,"(461.2799987792969, 240.49497985839844, 580.79833984375, 376.8840026855469)",7.980000019073486,TimesNewRomanPSMT,4,792.0,612.0,6,28,0.21428571428571427,-0.9281624206460571,0.2857142857142857,False,False,4.019999980926514,True,False,0.3036552775989879,-1.0199999809265137,21,0,4.019999980926514,534,0,-0.2695940178530964,False,True,False,7,5,1.0,0.0,7.0,Title,0.5384615384615384,119.51834106445312,136.38902282714844,0.8763046951067591,1,50.0,50,6.18,0.68,374,0.7914438502673797,0.0,0.0,0.17379679144385027,0.1896551724137931,0.8771929824561403,False,False,False,8,0,0.0,7,0.7857142857142857,Title,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
"Incident Response to Terrorist Bombings and Prevention and Response to   Suicide Bombings Awareness Course   July 25 and July 26, 2006 in Quincy, MA  The Massachusetts Emergency Management Agency (MEMA), in Partnership   with MBTA Transit Police, are presenting a training to provide participants with   basic information concerning explosive and incendiary devices that could be used  as terrorist weapons. This course is designed for Emergency Responders   including: Fire, Police, EMS, Emergency Management Personnel, Public Works,",1,"(57.599998474121094, 242.08802795410156, 453.1368408203125, 379.3919982910156)",12.0,TimesNewRomanPS-BoldMT,20,792.0,612.0,7,28,0.25,0.476057500158988,0.8928571428571429,False,True,0.0,True,False,0.30566670196224943,4.019999980926514,374,0,-3.0,93,0,-0.12599858330525762,False,True,False,3,2,1.0,0.5,3.0,Title,0.46153846153846156,395.5368423461914,137.30397033691406,2.8807385640461094,2,36.5,73,6.164383561643835,0.8082191780821918,534,0.8033707865168539,0.0149812734082397,0.020599250936329586,0.15730337078651685,0.2441860465116279,0.9647058823529412,False,False,True,2,0,0.0,18,0.39285714285714285,H2,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
• Characteristics of Drivers       Stopped by Police (BJS)  • Synthetic Drug Control Strategy,1,"(461.2799987792969, 379.7549743652344, 576.071533203125, 410.7510070800781)",9.0,TimesNewRomanPSMT,0,792.0,612.0,8,28,0.2857142857142857,-0.5718678188466649,0.5357142857142857,False,False,3.0,True,False,0.47948860399650806,-3.0,534,0,3.0,348,0,-0.5217834997777383,False,True,False,5,3,0.0,0.0,5.0,Title,0.625,114.79153442382812,30.99603271484375,3.703426676564817,1,13.0,13,5.6923076923076925,0.9230769230769231,93,0.7526881720430108,0.0,0.0,0.20430107526881722,0.13333333333333333,1.0,False,False,False,2,0,0.0,10,0.6785714285714286,Title,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
"Public Health, or any emergency responder who is likely to be called upon a   scene that involves energetic materials (WMD). The goal of this course is to   provide participants with the ability to conduct pre-attack analysis and planning,   prior to a suicide bombing incident. Training registration form and contact   information is attached.   •",1,"(57.599998474121094, 379.90802001953125, 465.4110107421875, 450.6510009765625)",12.0,TimesNewRomanPSMT,4,792.0,612.0,9,28,0.32142857142857145,0.476057500158988,0.8928571428571429,False,True,0.0,True,False,0.4796818434590041,3.0,93,0,-3.0,37,0,-0.29292827596712023,False,True,False,5,3,1.5,0.5,5.0,Title,0.5,407.8110122680664,70.74298095703125,5.7646851567615975,4,13.25,53,5.39622641509434,0.8679245283018868,348,0.7959770114942529,0.0,0.014367816091954023,0.1781609195402299,0.35,1.0,False,False,False,2,0,0.0,11,0.6428571428571429,Title,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
(ONDCP)  • Prison and Jail Inmates at,1,"(461.2799987792969, 410.85003662109375, 554.48974609375, 430.73101806640625)",9.0,TimesNewRomanPSMT,0,792.0,612.0,10,28,0.35714285714285715,-0.5718678188466649,0.5357142857142857,False,False,3.0,True,False,0.5187500462387548,-3.0,348,0,-1.0199999809265137,52,0,-0.5720419018694819,False,True,False,3,2,0.0,0.0,3.0,Title,0.6,93.20974731445312,19.8809814453125,4.688387621649833,1,7.0,7,4.285714285714286,1.0,37,0.7297297297297297,0.0,0.0,0.1891891891891892,0.2222222222222222,1.0,False,False,False,2,0,18.44428571428574,19,0.35714285714285715,H3,H2,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
Midyear 2005 (BJS)   Highlights of the 2004 National,1,"(465.4200134277344, 430.83001708984375, 574.099853515625, 450.5789794921875)",7.980000019073486,TimesNewRomanPSMT,4,792.0,612.0,11,28,0.39285714285714285,-0.9281624206460571,0.2857142857142857,False,False,4.019999980926514,True,False,0.5439772943053582,-1.0199999809265137,37,0,4.019999980926514,1204,0,-0.5585798298806219,False,True,False,3,2,0.0,0.0,3.0,Title,0.6,108.67984008789062,19.74896240234375,5.5030658256249865,1,8.0,8,5.375,1.0,52,0.6346153846153846,0.15384615384615385,0.0,0.17307692307692307,0.2,1.0,False,False,False,2,0,0.0,20,0.32142857142857145,H3,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
"Survey for the Violence Against Women Act STOP Grant Program  To help the Executive Office of Public Safety (EOPS) and the Violence Against   Women Act (VAWA) Advisory Committee develop their Three Year Strategic   Plan for the Massachusetts Violence Against Women Act STOP (Services,   Training, Officers, Prosecutors) Grant Program, the EOPS is administering a   survey to members of the criminal justice, court, local/state government, and   victim advocate/victim services communities. The survey seeks respondents'   views on the criminal justice system’s response to crimes of sexual assault,   domestic violence, and stalking in Massachusetts, in a number of areas   including: the needs of victims of crimes against women, VAWA program   purpose areas, and underserved populations. The EOPS is particularly interested   in the professional opinions of front-line staff. The survey takes approximately   15-20 minutes to complete.   Contact Diane DeAngelis at diane.deangelis@state.ma.us or (617) 725-3362   with any questions or comments.      Any individual wishing to complete the survey should enter the following link   into their web browser:  http://www.surveymonkey.com/s.asp?u=40952223277",1,"(57.599998474121094, 449.02801513671875, 449.21795654296875, 738.3119506835938)",12.0,TimesNewRomanPSMT,4,792.0,612.0,12,28,0.42857142857142855,0.476057500158988,0.8928571428571429,False,True,0.0,True,False,0.5669545645665641,4.019999980926514,52,0,-4.019999980926514,55,0,0.47530729886381734,False,True,False,7,3,1.5,0.5,7.0,Title,0.5833333333333334,391.61795806884766,289.283935546875,1.3537494134560772,6,26.833333333333332,161,6.267080745341615,0.7080745341614907,1204,0.7782392026578073,0.020764119601328904,0.022425249169435217,0.16196013289036545,0.27918781725888325,0.8877551020408163,False,False,True,8,1,0.0,8,0.75,Title,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
Youth Gang Survey (OJJDP)  Local Police Departments and,1,"(470.2799987792969, 450.8098449707031, 568.8911743164062, 470.3847961425781)",7.980000019073486,TimesNewRomanPSMT,4,792.0,612.0,13,28,0.4642857142857143,-0.9281624206460571,0.2857142857142857,False,False,4.019999980926514,True,False,0.5692043497104837,-4.019999980926514,1204,0,0.0,30,0,-0.55588741548285,False,True,False,5,2,0.0,0.0,5.0,Title,0.7142857142857143,98.61117553710938,19.574951171875,5.037620511605283,1,8.0,8,5.875,1.0,55,0.8181818181818182,0.0,0.0,0.14545454545454545,0.1,1.0,False,False,False,2,0,0.0,12,0.6071428571428571,Title,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
"Sherriff’s Offices, 2003 (BJS)",1,"(470.2799987792969, 470.7898254394531, 568.71728515625, 479.6236877441406)",7.980000019073486,TimesNewRomanPSMT,4,792.0,612.0,14,28,0.5,-0.9281624206460571,0.2857142857142857,False,False,4.019999980926514,True,False,0.5944315977770873,0.0,55,0,1.0199999809265137,25,0,-0.5783242021309498,False,True,False,3,2,0.0,0.0,3.0,Title,0.6,98.43728637695312,8.8338623046875,11.14317644782843,1,4.0,4,6.75,1.0,30,0.6333333333333333,0.13333333333333333,0.03333333333333333,0.1,0.1111111111111111,1.0,False,False,False,2,0,0.0,21,0.2857142857142857,H3,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
Conferences and Trainings,1,"(461.2799987792969, 483.150146484375, 567.555419921875, 505.343994140625)",9.0,TimesNewRomanPS-BoldMT,20,792.0,612.0,15,28,0.5357142857142857,-0.5718678188466649,0.5357142857142857,False,False,3.0,True,False,0.6100380637428977,1.0199999809265137,30,0,-1.0199999809265137,258,0,-0.5828115594605697,False,True,False,3,2,0.0,0.0,3.0,Title,0.6,106.27542114257812,22.19384765625,4.788508184278266,1,3.0,3,7.666666666666667,1.0,25,0.92,0.0,0.0,0.08,0.3333333333333333,1.0,False,False,False,0,0,0.0,22,0.25,H3,H1,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
Incident Response to Terrorist  Bombings and Prevention and  Response to Suicide Bombing Awareness Course (MEMA)  G.R.E.A. (EOPS)  • Terrorism Symposium (NIJ)  • DNA Grantees Workshop (NI • Managing Juvenile Services  (OJJDP)  • Criminal Intelligence Systems,1,"(461.2799987792969, 510.08984375, 569.3475341796875, 619.0709228515625)",7.980000019073486,TimesNewRomanPSMT,4,792.0,612.0,16,28,0.5714285714285714,-0.9281624206460571,0.2857142857142857,False,False,4.019999980926514,True,False,0.6440528330176768,-1.0199999809265137,25,0,1.0199999809265137,22,0,-0.37370070790027954,False,True,False,3,2,0.0,0.0,3.0,Title,0.6,108.06753540039062,108.9810791015625,0.9916174100247207,2,17.5,35,6.2,0.8285714285714286,258,0.7751937984496124,0.0,0.015503875968992248,0.15891472868217055,0.08888888888888889,0.9318181818181818,False,False,False,9,0,0.0,23,0.21428571428571427,H3,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
•  T. Officer Training,1,"(461.2799987792969, 546.554931640625, 563.59814453125, 557.5709228515625)",9.0,ArialMT,0,792.0,612.0,17,28,0.6071428571428571,-0.5718678188466649,0.5357142857142857,False,False,3.0,True,False,0.6900946106573548,1.0199999809265137,258,0,0.0,48,0,-0.5855039738583417,False,True,False,4,4,1.0,0.0,4.0,Title,0.4444444444444444,102.31814575195312,11.0159912109375,9.288147003091652,1,4.0,4,4.5,1.0,22,0.7272727272727273,0.0,0.045454545454545456,0.18181818181818182,0.0,1.0,False,False,False,0,0,12.425000000000011,15,0.5,Title,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
Training (BJA)  • The 2006 NIJ Conference (NIJ •,1,"(461.2799987792969, 619.229736328125, 569.2781982421875, 649.8508911132812)",9.0,SymbolMT,0,792.0,612.0,18,28,0.6428571428571429,-0.5718678188466649,0.5357142857142857,False,False,3.0,True,False,0.7818557276870265,0.0,22,0,-1.0199999809265137,43,0,-0.562169715744318,False,True,False,3,2,0.0,0.0,3.0,Title,0.6,107.99819946289062,30.62115478515625,3.5269146516722243,1,9.0,9,4.333333333333333,0.8888888888888888,48,0.625,0.08333333333333333,0.0,0.1875,0.08333333333333333,1.0,False,False,False,3,0,14.400000000000034,24,0.17857142857142858,H3,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
)   2006 National Community  ference (COPS),1,"(465.4200134277344, 629.9735107421875, 573.9337158203125, 658.7805786132812)",7.980000019073486,TimesNewRomanPSMT,4,792.0,612.0,19,28,0.6785714285714286,-0.9281624206460571,0.2857142857142857,False,False,4.019999980926514,True,False,0.7954210994219539,-1.0199999809265137,48,0,1.0199999809265137,188,0,-0.5666570730739379,False,True,False,3,2,0.0,0.0,3.0,Title,0.6,108.51370239257812,28.80706787109375,3.7669124423963134,1,6.0,6,5.833333333333333,1.0,43,0.6511627906976745,0.09302325581395349,0.0,0.18604651162790697,0.0,1.0,False,False,False,3,0,0.0,25,0.14285714285714285,H3,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
"Policing Con   In the News  • Boston's New Problem: Stop  Emerging Girl Gang ""Epidemic"" • Boston Plans 24/7 Surveillance Of Hard-Core Crim • Boston Officials Launch Gun  Buyback Program  •",1,"(461.2799987792969, 649.949951171875, 575.1917114257812, 749.27099609375)",9.0,TimesNewRomanPSMT,0,792.0,612.0,20,28,0.7142857142857143,-0.5718678188466649,0.5357142857142857,False,False,3.0,True,False,0.8206438777422664,1.0199999809265137,43,0,-1.0199999809265137,5,0,-0.43652371051495903,False,True,False,3,2,0.0,0.0,3.0,Title,0.6,113.91171264648438,99.321044921875,1.1469040900252938,1,30.0,30,5.1,0.8666666666666667,188,0.7446808510638298,0.015957446808510637,0.005319148936170213,0.18617021276595744,0.08823529411764706,0.9393939393939394,False,False,True,0,3,0.0,26,0.10714285714285714,H3,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
inals,1,"(533.2820434570312, 689.4876098632812, 577.1720581054688, 718.3034057617188)",7.980000019073486,TimesNewRomanPSMT,4,792.0,612.0,21,28,0.75,-0.9281624206460571,0.2857142857142857,False,False,4.019999980926514,True,False,0.8705651639687895,-1.0199999809265137,188,0,0.0,54,0,-0.6007609887790496,False,True,False,3,2,0.0,0.0,3.0,Title,0.6,43.8900146484375,28.8157958984375,1.5231234564240297,1,1.0,1,5.0,1.0,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,False,0,0,0.0,27,0.07142857142857142,H3,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
Boston Tests Electronic Crime  Alert System For Public,1,"(461.278564453125, 739.1549682617188, 570.69482421875, 767.4415283203125)",7.980000019073486,TimesNewRomanPSMT,4,792.0,612.0,22,28,0.7857142857142857,-0.9281624206460571,0.2857142857142857,False,False,4.019999980926514,True,False,0.9332764750779278,0.0,5,0,4.019999980926514,3079,1,-0.556784886948774,False,True,False,4,3,1.0,0.0,4.0,Title,0.5,109.416259765625,28.28656005859375,3.86813594650521,1,8.0,8,5.75,1.0,54,0.8518518518518519,0.0,0.0,0.14814814814814814,0.125,1.0,False,False,False,0,0,0.0,16,0.4642857142857143,Title,H2,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
"Notice on Toyobo Class Action Settlement regarding Zylon Bulletproof   Vests  Please note there is another limited opportunity for anyone with a Second Chance vest to participate in  the Toyobo Class Action Settlement. Toyobo is the exclusive manufacturer of Zylon. Anyone (or  department) that had purchased a Second Chance Ultima, Ultimax, or Triflex vest may submit a late  claim no later than JULY 1, 2006. For the purpose of this class action settlement, it makes no  difference if you have already received a warranty replacement vest or any other remedy offered by  Second Chance or its agents. Any Second Chance consumer is eligible.   To obtain the registration forms, either visit www.zylonvestclassaction.com or call 1-877-567-2754.      EOPS Funding Opportunities    The College Environmental Alcohol Prevention Planning and   Implementation Grant  Application Deadline: June 23, 2006  The Governor’s Highway Safety Bureau (GHSB), a program of the Executive   Office of Public Safety, announces the availability of approximately $200,000   in grant funding for Massachusetts colleges and universities with undergraduate   enrollment of 5,000 or less. Colleges and universities will develop and implement  an environmentally focused plan to prevent alcohol use and abuse. Proposed   programs should focus on limiting access to alcohol, expressing community norms, or programming  aimed specifically at impaired driving.  For more information: http://www.mass.gov/eopsfunding.htm click on Justice and Education    Juvenile Justice and Delinquency Prevention Act Formula Grant Program    Bidders’ Conference: June 22, 2006 in Worcester, MA  Application Deadline: July 20, 2006  EOPS is making approximately $885,000 of funding available from the federal Juvenile Justice and  Delinquency Prevention Act (JJDPA) Formula Grant Program, subject to the final award to  Massachusetts through the U.S. Department of Justice, Office of Justice Programs, Office of Juvenile  Justice and Delinquency Prevention. The purpose of this program is to improve the lives of juveniles in  the Commonwealth by preventing their involvement with the juvenile justice system and by improving  the operation and services provided by the juvenile justice system. A bidders’ conference will be held  on Thursday, June 22 from 1:00-4:00 pm at the Crowne Plaza in Worcester, Massachusetts.    For more information: http://www.mass.gov/eopsfunding.htm click on Justice and Education      Other Funding Opportunities    Field-Initiated Research and Evaluation Program   Application Deadline: June 19, 2006  “The Office of Juvenile Justice and Delinquency Prevention is looking for applicants for the Field- Initiated Research and Evaluation Program. The goal of the program is to foster original, rigorous,  scientific research and evaluation studies using traditional or innovative methods to inform the  disciplines of juvenile justice and delinquency prevention and child maltreatment prevention and  intervention.”  For more information: http://ojjdp.ncjrs.gov/grants/solicitations/2006fire.pdf",2,"(57.59996032714844, 50.86799621582031, 556.8673706054688, 740.2919921875)",12.0,TimesNewRomanPSMT,4,792.0,612.0,23,28,0.8214285714285714,0.476057500158988,0.8928571428571429,False,True,0.0,False,False,0.06422726794926807,4.019999980926514,54,1,0.0,3118,1,2.1580662974713034,False,False,True,8,4,2.5,0.5,8.0,Title,0.5333333333333333,499.2674102783203,689.4239959716797,0.7241804944352841,14,29.785714285714285,417,6.23021582733813,0.5947242206235012,3079,0.7914907437479701,0.0220850925625203,0.020461188697629102,0.1562195518025333,0.30462184873949577,0.8084210526315789,False,False,True,6,0,0.0,3,0.9285714285714286,Title,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
"Social Science Research on the Role and Impact of Forensic Evidence on the Criminal Justice  Process   Application Deadline: June 20, 2006  “The National Institute of Justice is seeking proposals for social science research that evaluates the use  of forensic evidence in the criminal justice system through the collection, analysis, and subsequent  investigative and adjudicative processes. Findings from this study could influence policies on such  issues as the allocation of resources and the training of laboratory and crime scene personnel.”   For more information: http://www.ncjrs.gov/pdffiles1/nij/SL000748.pdf      Research and Publications    Characteristics of Drivers Stopped by Police  The Bureau of Justice Statistics recently released this report detailing the nature and characteristics of  traffic stops, as collected by the 2002 Police Public Contact Survey, a supplement to the National  Crime Victimization Survey. Demographic information is presented on the 16.8 million drivers  stopped by police in 2002, as well as information on the various outcomes of traffic stops, including:  searches conducted by police, tickets issued to drivers stopped for speeding, arrests of stopped drivers,  and police use of force during a traffic stop.   Access full text at: http://www.ojp.usdoj.gov/bjs/abstract/cdsp02.htm    Synthetic Drug Control Strategy: A Focus on Methamphetamine and Prescription Drug Abuse  The Office of National Drug Control Policy presents the Administration's strategy for responding to  the illicit use and production of methamphetamine, and the illicit use of controlled substance  prescription drugs. The publication includes a progress report and a detailed description of current  goals to reduce production and use.   Access full text at: http://www.whitehousedrugpolicy.gov/publications/synthetic_drg_control_  strat/index.html    Prison and Jail Inmates at Midyear 2005  The Bureau of Justice Statistics is presenting data on prison and jail inmates, collected from National  Prisoner Statistics counts and the Census of Jail Inmates 2005. This midyear report contains statistics  on the number of prison inmates held in private facilities and the number of prisoners under 18 years of  age held by State correctional authorities. Numbers of prison and jail inmates by gender, race, and  Hispanic origin as well as counts of jail inmates by conviction status and confinement status are also  included.   Access full text at: http://www.ojp.usdoj.gov/bjs/abstract/pjim05.htm    Highlights of the 2004 National Youth Gang Survey  This recently released Office of Juvenile Justice and Delinquency Prevention report provides an  overview of findings from the 2004 National Youth Gang Survey, the tenth annual survey conducted  by the National Youth Gang Center. Data is provided to shed light on youth gang activity in the United  States and includes the number of gangs, gang members, and gang-related homicides in larger cities,  suburban counties, smaller cities, and rural counties.   Access full text at: http://www.ojjdp.ncjrs.org/publications/PubAbstract.asp?pubi=235570",3,"(57.599945068359375, 50.86799621582031, 557.1575927734375, 733.3919067382812)",12.0,TimesNewRomanPSMT,4,792.0,612.0,24,28,0.8571428571428571,0.476057500158988,0.8928571428571429,False,True,0.0,False,False,0.06422726794926807,0.0,3079,1,0.0,2819,1,2.193067684642339,False,False,True,16,7,4.0,0.5,16.0,Title,0.5818181818181818,499.5576477050781,682.5239105224609,0.7319269552368867,11,38.63636363636363,425,6.207058823529412,0.5576470588235294,3118,0.7985888389993585,0.01667735728030789,0.02052597819114817,0.1539448364336113,0.3039832285115304,0.7962184873949579,False,False,True,0,1,0.0,1,1.0,Title,Paragraph,AA7LE5CV3O4PNQJPJXH2W6ML2O44A2ET copy.pdf
